rating,title,description
10,A Masterpiece,"This must rank as the best film (along with part 2)of all time.An ensemble performance that has no weak spot.

Particularly, John Cazale ( Fredo) and Richard Castellano ( Clemenza) give wonderfully understated performances. You just have to believe that Castellano WAS Clemenza, he brings a real touch to his role.

John Cazale brings the troubled Fredo to life, and you can see the weak Fredo desperately trying to live up to the family reputation but knowing that he can never be what his father wants.

The story of one man's reluctance to be drawn into the murky family business,and his gradual change through circumstance, paints a vivid picture of this violent period of US history.

Do not miss this film!"
10,perfect,"This movie is strong, good script, great casting, excellent acting, and over the top directing. It is hard to fine a movie done this well, it is 29 years old and has aged well. Even if the viewer does not like mafia type of movies, he or she will watch the entire film, the audiences is glued to what will happen next as the film progresses. Its about, family, loyalty, greed, relationships, and real life. This is a great mix, and the artistic style make the film memorable."
7,Not sure,"I must admit, i've never watched the Godfather until now (1 month ago) and as a movie fan i always was ashamed about this. Now i've seen it and might have an unpopular opinion about it.

The acting is quite good and the actors also became legends of the Business. The love to little Details is good.

But i never get into it.

The plot is ok but i wanted more.

I wanted to go deeper into the ""why"" and what characters like Michael really think. Why they behave like they do.

They just ""looked"" and there was silence.

I always was waiting for the catchy moment which will make me feel in love with this so called ""masterpiece"". But it didn't happened and i watched it in 3 parts because i was nearly ""bored"".

I was neither surprised about twists, not emotional and not catched by the story. It was just there.

The characters are all not so relatable, i didn't felt their feelings.

Like robots. You can change theme and you wouldn't even recognize it. If person A,B,C or D gets murdered it doesn't matter.

For me: Yes, you can watch it, but for me it is not the masterpiece it should be regarding the reviews.

I still need to watch Part 2 and 3. I have it on my list since 1 month, but i didn't do it...that says a lot for myself."
10,The film of films,A flawless movie. This movie translates from the book perfectly!This movie made me want to be a director and create film. Everyone's acting was perfect. To think that Puza wrote this specifically to make a hit is at first crazy.
10,How things were done back then!,"The directing by Coppola was perfect as well. Not many movies can be 3 hours and yet maintain a good level of interest from the audience like The Godfather. Coppola deserves credit for this. The symbolism and messages that went into every scene also has to do with the directing not just the writing. The movie is so well edited and strung together that the only word that could come to my mind is perfection.

The cinematography and music were perfect. The score of this movie is one of the most memorable ever. If you were to hear it you could identify it right away. The cinematography was what actually really drove this movie. The Godfather seems to have this mystique to it, it gives you the feeling you are watching something truly remarkable."
10,The world inside the underworld!,"The godfather trilogy is an exclusive set of movies that will continue to live with humanity, every generation will see them to say, ""Oh that was 10 out of 10."" If you watch them you will know that the world that lives inside the underworld is same as the one we live in except that people in underworld are so smart, in fact smartness is the only thing that can keep them there. Don Vito Caroleone's early life shown in part-II is very well done to show the Don in making, how a kid who couldn't even tell his name went on becoming a underworld don who keep most senators, judges and lawyers in his pocket. Meeting of don with the so call five families are among most impressive scenes.

A saga that goes on for 9 continuous hours takes you around various walks in life of Mike (Don's younger son who become Don later), his school days, love life, personal life, family life, business life, political life and religious life. How all of these different roles Mike plays in his life and how intertwined these are.

I enjoyed watching these movies so much, I wish I had seen them much before then I did. Its amazing to see how the Part-III was made 18 years later the part-I was made and everything looks so continuous if watch them together.

I need not say much! The Godfather father trilogy been around for a while and everyone knows that they are great set of movies, its just the matter of when you actually get to see them.

Watch them! Kudos to Francis Ford Coppola! -Vishy"
10,Perfection,"Alright, this movie is simply perfect. I don't have one bad thing to say about it honestly. Phenomenal acting from few of Hollywood's greatest talents. Al Pacino gives a career defying performance in The Godfather along side Marlon Brando, James Caan, Robert Duvall and a young Diane Keaton. This movie is simply perfect. This adaptation of Mario Puzo's book tells the tale of an immigrant living the American Dream. But even though all of the starts were absolutely phenomenal in their individual roles only one remains more iconic than the others--Marlon Brando as Don Vito. Fans of the movie will come back and watch it again and again to witness Brando in his absolute finest."
6,Count Me In The Minority,"First I have to say that it is very difficult to watch this movie for the first time (which I just did) and approach it with an open mind. The glowing reviews it gets everywhere (many of course calling it the best movie ever made) gives one extremely high expectations and the possibility of being easily disappointed. The many parodies of the movie also give it a cult status that makes one think one knows the story even if one has never seen it.

I thought ""The Godfather"" was a good movie, but nothing more than that really. I personally wouldn't call it the greatest movie ever made; not even one of the greatest. It was good, worth watching once and I'm glad I've finally seen it, but nothing more.

The portrayal of mob life in the post-war era seemed realistic enough, and the appropriate atmosphere was set. The opening scenes (revolving around Don Corleone's daughter's wedding) gave me mixed feelings. I thought the whole thing went on too long, but it did demonstrate that Corleone's ""business"" never ended - he was constantly meeting with various people looking for favours rather than being front and centre at the wedding. Brando, of course, won (and refused to accept) the Oscar for Best Actor for his portrayal of Corleone, but I wasn't actually taken with his performance. First, I really didn't think of him as the Lead Actor. Al Pacino (as Corleone's son Mike) was, I thought, far more important to the story and far more interesting to watch. Brando had - to me - an almost cartoonish aura around him. Over-rated in my view. But Pacino was excellent, and the character of Mike the most interesting in the movie, as he evolves from the returned war hero who wants nothing to do with the family ""business"" to the eventual ""Don.""

It's not that I thought this was a bad movie. It was quite watchable and for the most part very interesting. I just think I've seen better.

6/10"
5,This is the #1 Movie?,"I was finally forced to watch this 'masterpiece'. What, exactly, is the redeeming feature of this movie that all these film 'elites' love so much.

It was a long, boring, tedious experience I would never want to repeat. Watching old men convince young men to kill other old men was pointless. Was there an actual point to the story? Or was it crafted just to sell the next installment.

This movie has no business being so well-liked and shows what is wrong with both American cimema and the IMDB ranking system."
10,The Don And His Sons,"My nephew who is all of 17 told me in no uncertain terms that movie making with him starts with The Godfather. He doesn't believe anything made before it is of any great merit. For him The Godfather is like The Birth of a Nation.

All three of The Godfather films can bear viewing over and over again. Mario Puzo created such compelling characters and Francis Ford Coppola brought them to life so vividly that you just get sucked in permanently. Like that other mammoth novel about a period, Gone With the Wind, Mario Puzo was like Margaret Mitchell in that there was no way he could top himself after the book was published.

Anyone steeped in organized crime history will know a lot about who is being alluded to in all of the Godfather films. Case in point, Alex Rocco who plays the minor character of Moe Green who takes it upon himself to slap Fredo Corleone around. He's also got a cash flow problem at the casino he's running. One would have to have been living on another planet to not know he was referring to Bugsy Siegal.

The Godfather story begins at the end of World War II where Marlon Brando rules the roost as Vito Corleone head of one of the large crime families. Two sons, James Caan (Sonny) and John Cazale (Fredo) are in the business and the third Al Pacino (Michael) has just come back from the war a decorated hero. The occasion is the gathering of the clan and friends for daughter Talia Shire (Connie) to Gianni Rizzi (Carlo Russo). All the characters are marvelously introduced and the plot situations laid out beautifully.

Marlon Brando who apparently decided that what George C. Scott did was so good in refusing the Oscar for Patton decided to do him one better and send up a bogus Indian princess to tell why. Despite that bit of cheek Brando certainly deserved an Oscar for his performance. Don Vito is compelling as criminal and family man. Brando might have been lucky though in that Al Pacino who really is the main character in all three Godfather films was nominated in the Supporting Actor category.

In fact Pacino was nominated with James Caan and Robert Duvall who plays Tom Heggen the family lawyer/consigliere and Brando's adopted son. That three way tie guaranteed the Oscar for Joel Grey in Cabaret with Eddie Albert being nominated for The Heartbreak Kid as the fifth. They're all great, but Pacino should have been in The Best Actor category.

Singer Al Martino plays Johnny Fontaine who if you didn't know that this was Frank Sinatra again you'd have to have been living on another planet. In fact the identification is made complete by the fact that Martino sings I Have But One Heart at the Corleone wedding which was an early Sinatra hit. Sinatra was not happy with The Godfather and broke off relations with Martino and with Richard Conte who plays Don Barzini one of the other Mafia Dons. Part of the underside of the Sinatra legend is worked into the plot as well.

The images and dialog of The Godfather have entered into our popular culture. The horse's head in John Marley's bed, the cryptic gangster dialog of speaking of an ""offer he can't refuse"", or ""Lucabrazzi sleeps with the fishes"" is all stuff we remember forever after seeing the film.

The key scene I think in The Godfather is between the retired Brando and Pacino who has taken over the crime family. Brando isn't happy about the road he took for success, but it's what was available to him. He hoped that Pacino could have stayed out of the family business and had a clean life. It wasn't to be, but maybe the next generation. I think it's beautifully played.

In fact it's all beautifully played."
10,The Godfather,"Engrossing motion picture that features some of the finest editing, cinematography and performances ever. There is a wonderful theme of family that runs through this film and its later sequels. No one is truly judged. Love is unconditional. God is the one who truly judges. Easily, the word masterpiece describes this film, but that's been said by so many...Who am I to argue? Masterpiece is right on the money."
10,The GODFATHER what else can i say ?,"The definition of perfect movie. As if (Marlon Brando) established what a mafia leader should be, with his hoarse voice and cold features, the actors after him were affected by the ghost of his great performance in the movie (The Godfather). Every stare from El Pacino in The Godfather has a story. And the music was. And the music was taking me into another world, making me feel like I am around a mafia gang, or as they say in the movie (the family)."
10,Simply the best,This film is pretty much the perfection of the craft. Every single aspect of The Godfather is outstanding. There are so many iconic lines and moments throughout the movie that have been replicated and entrenched in culture over the years. There really isn't too much else to say. This is truly the peak of filmmaking.
10,A genre-defining masterpiece,"New York, 1945. Don Vito Corleone (played by Marlon Brando) is the aging Godfather of a mafia family. He has three sons - Sonny (James Caan), Fredo (John Cazale) and Michael (Al Pacino). Sonny is his natural successor but is impulsive, short-tempered and not much of a thinker. Fredo is overly passive. Michael is a war hero and looking to stay out of the family business. The Corleone family and the other four mafia families of New York and New Jersey have been at peace for several years now. Then one of the families decides to get into the illegal narcotics business and wants Don Corleone's help. Don Corleone decides that his family should stay out of narcotics. This has disastrous and far-reaching consequences, consequences that will suck Michael deeper and deeper into the family business.

Hard to come up with any more superlatives for this movie, as it is rightfully regarded as one of the greatest movies of all time. Great story, based on the book by Mario Puzo and adapted by Puzo and Francis Ford Coppola. Superb direction by Coppola - some wonderful moments of sensitivity and great drama scenes. Despite being nearly three hours long it doesn't feel like it at all. The movie is very well paced and there's always something happening. Coppola sucks you in from the word go and keeps you enthralled and engaged the whole time.

Excellent performances too. Marlon Brando well deserved his Best Actor Oscar, as did Al Pacino, Robert Duvall and James Caan their nominations for Best Supporting Actor. The movie launched Pacino's career and revitalised Brando's.

Beyond the pure art and entertainment of the movie, it defined, and set the benchmark for, the gangster-drama. There had been gritty crime-dramas before. In the 1930s and 40s we had several excellent James Cagney movies (White Heat from 1949 being the pick of the bunch), as well as the original Scarface and other crime dramas. In the 1940s and 50s there were some great film noir dramas. However, none of these had the grittiness, profundity and sheer breadth and depth of story of The Godfather.

So monumental its influence can be seen in the works of Scorsese (Goodfellas, especially), Tarantino, many other directors and, most overtly, the excellent TV series The Sopranos.

An all-time classic."
7,Good but overhyped,"I'm ready to be downvoted into oblivion. Intellectually, I can appreciate the style, influence and popularity of this film as attested by its lasting reputation and universally positive reviews. Along with other classics like The Battleship Potemkin and Metropolis, it had a massive impact and has been lauded as a masterpiece. Yet, just like those films, I think it has more value as a piece of film history than an emotional viewing experience in itself. To put it more bluntly, I can see why it was a masterpiece at the time but I don't feel that way when I watch it now.

For sure, I'll give it plenty of credit for its acting and atmosphere. The cinematographic techniques add a soft, dreamlike quality to everything. The portrayal of the gangsters seemed (as far as I know) grounded and humanistic, not caricatured. However, there are definitely parts where it drags on and didn't feel engaging. If I watched this with no expectations and no idea of its status, I'd probably just think it's a well made film from an older era but nothing earth-shattering."
10,Classic,"One of the best and most complete movies ever. It has absolutely everything, great directing, acting, storytelling and atmosphere.

This is not just a story about crime but also a story about family, about good and evil and about how easy it is to succumb to temptation. The film that left a deep mark in film art and I would dare say, in art in general.

The cast is exceptional, and Marlon Brando's acting performance is particularly impressive.

The characters are fascinating, layered, and the cast really embodied them perfectly. The subtle details with which the director slowly builds the story and atmosphere are excellent.

The direction and cinematography are brilliant, everything in the film makes sense and has its place, a truly fascinating film work. This is a truly remarkable story told in the best possible way.

A powerful and unforgettable film achievement."
10,"For me it isn't ""the greatest ever"", but it's still great","Marlon Brando is Don Vito Corleone, head of perhaps the most powerful New York-area mafia family in the 1940s, in this well-respected film by director/writer Francis Ford Coppola. As the film begins, Vito is receiving ""business"" guests in his office at his home while his daughter Connie's (Talia Shire) wedding and reception are taking place. The epic plot takes place over many years, telling the story of Vito, his family--including Michael (Al Pacino), Santino (James Caan) and Tom Hagen (Robert Duvall), his associates, and their interactions with other mob syndicates.

The Godfather is commonly considered to be one of the ""greatest films of all time"". Even though I've given it a 10, I wouldn't put that same kind of exalted emphasis on it. I've given literally thousands of films 10s over the years, and for me, Godfather just barely made a 10. I think it has a number of flaws, but Coppola also has a knack for transcending the problems with some brilliant move or another. At any rate, it is definitely must-see viewing--even if it's only because it's so highly regarded--if you've not experienced the film yet. I think it's a good idea to attain cultural literacy, and films as popularly loved as The Godfather become necessary elements in achieving that literacy.

Shorn of its gangster trappings, The Godfather is sprawling and soap-operatic in tone. The sprawl is appropriate to its origins as a novel by Mario Puzo, who also co-wrote the screenplay with Coppola. There is a large cast of characters--maybe too large, as it can be difficult to keep track of just who everyone is. Even after you've watched the film a couple times you may find scenes where mobsters seem to spontaneously appear and you catch yourself saying, ""Wait, who is that guy supposed to be again?"" The soap opera angle can be a positive or negative depending on your tastes. I tend to not like soap-operatic stories, but of course Coppola put yummy gangster topping on this one to make it palatable for guys like me. At root, though, The Godfather is concerned with realistic depictions of a very dysfunctional family as they try to make it through life--including marriages, births, adultery, spats between family members, tiffs with others in their community, and so on. My theory is that the soap opera angle accounts for much of the film's appeal. For me, it (and the slight lack of focus from the sprawl) accounts for much of the reason that I barely gave the film a 10.

But two things help the film transcend a lower score for me. Even though the gangster stuff has been far surpassed in graphic brutality in the intervening years, the dramatic context of the violence usually gives it tremendous impact. Films like Ichi the Killer (2001), which I just watched for the first time the night before watching The Godfather again, make the Godfather's brutality fit for Sesame Street in comparison. However, although Ichi's violence is effective, setting that knob to ""11"" doesn't make it better. Besides, Ichi is so over the top that it would make many Godfather fans want to hurl.

To the extent that Coppola and Puzo just focus on the extended Corleone family, they create tremendous depth in their relationships. The whole film can be looked at as a fascinating depiction of ""oscillating"" dynamics in the family, with the pole pairs being interacting/distancing, control/lack of control, benevolence/malevolence. Most character stances and actions are some combination of those ranges of characteristics, and everyone dances around the poles, so to speak, throughout the film. From this angle, even the attractive surface violence (well, attractive to us fans of that stuff in artworks) is mainly there for the purpose of pushing characters more to one pole or the other. There is an implication that underlying these mechanisms is some natural tendency towards achieving (a dynamic) equilibrium.

But there are more superficial stylistic factors that help push my score up to a 10, also. The most obvious, which everyone and their grandparents have mentioned, are the performances. It's tough to go wrong when you have a cast including Al Pacino, Marlon Brando, Robert Duvall, James Caan, Diane Keaton, and so on. Another commonly mentioned element that I agree is fantastic and superbly integrated to create atmosphere is Nino Rota's score.

Less often mentioned is the consistently intriguing cinematography by Gordon Willis. Most of Willis' unusual shots in the film are so subtle as to be barely noticeable unless you're looking for them. The opening, for example, consists of a long (it lasts a few minutes) ""zoom out"" from Amerigo Bonasera (Salvatore Corsitto). The shot is beautifully lit--most of the frame is extremely dark, giving Bonasera a chiaroscuro effect (the opening is also unusual in that it's a long monologue from a minor character).

Willis and Coppola have a knack for placing their actors in the frame to create depth and interesting visual patterns. This is done so slyly that at first blush you wouldn't believe it's something they thought about, but if you keep this in mind while watching, you can see delightful visual paths that zigzag, wind to a focal point, and so on, all created by the confluence of actors and scenery in the frame.

If you haven't seen The Godfather before, the most important thing you can do before watching is to forget about all of the ""greatest film of all time"" hype. That's only likely to set up expectations that could never be met; more than likely you'll be disappointed. Just think of it as one of the better films from one of Hollywood's more admirable but relatively odder directors, featuring earlier performances from a very well known cast, and keep in mind that it's as much a ""historical family saga"" as a crime or gangster film."
10,"One of the best of all timeA masterclass in filmmaking,","The Godfather is a strong contender for the best film ever made. I'd argue that it is the ultimate gangster movie.

Don't worry about the nearly three-hour runtime; you won't even notice the time passing, it flies by.

The production values are astounding, with a visual appeal that remains impressive throughout. At around fifty years old, it outshines many modern films.

With performances by Brando, Pacino, and Castellano, among others, the acting is phenomenal.

If you're considering a hard copy, I recommend the Blu-ray version; it's sharper than the DVD, and the difference is noticeable.

This film has had a significant influence over the years and will always be one of the greatest. 10/10."
10,The greatest film of all time.,"The power of cinema at its purest and most vivid expression. Screenplay, direction, cinematography, acting, editing, it all comes in the most elevated form. Francis Ford Coppola is a craftsman, as every director and artist should be, that draws inspiration from the power of the words and of the actions of characters and provides the standard upon which all the following history of cinema relies. It's an historic work of art."
10,Best Movie Of All Time,"This movie is great in every way. Great plot, great characters, memorable quotes and scenes, and a great representation of the book it's based on. It's a must see for everyone."
5,"Has its moments, but not the best film","'The Godfather' is one of the most well-known films of all time, and its popularity has made it a legend. It is the ultimate Mafia film. The film crops up in everyday conversation: the memorable scene with the horse's severed head and the dead of the Mafia man in the tomato garden while he is chasing the little boy around. It's one of those films that some consider the best film ever made -- that is, by some people but not by me. While I thought that some of the scenes and story were done brilliantly, some of the film was difficult to follow. I've seen much better films that 'The Godfather', and despite some of the good scenes and the photography, I would only classify it as an average film. Good, and it probably could not have any better, but it just failed to really inspire me as a film."
